username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
EkonomiTerkini,,,38,130,19231,2019-11-06 08:12:46,2022-03-27 05:13:57,4,"Top News Koran Rakyat Merdeka

Obati Pasien Covid
Pemerintah Belum Bayar 21 T, Kasian Dong Rumah Sakit Ya!

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid

https://t.co/tn61TAq2Zm","[{'text': 'Booster', 'indices': [128, 136]}]"
EkonomiTerkini,,,38,130,19231,2019-11-06 08:12:46,2022-03-27 05:13:12,4,"Jaga Selalu Kesehatan Jiwa, Kalau Mau Menangis, Menangis Saja

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid

https://t.co/TZjuCQLX6s","[{'text': 'Booster', 'indices': [83, 91]}, {'text': 'Vaksin', 'indices': [92, 99]}, {'text': 'vaksinasi', 'indices': [100, 110]}, {'text': 'Omicron', 'indices': [111, 119]}, {'text': 'OmicronVirus', 'indices': [120, 133]}]"
_rakyatmerdeka,official akun Rakyat Merdeka Digital,,4,30,3035,2021-12-23 13:39:54,2022-03-27 04:49:55,4,"Risikonya Bisa Meningkat 40 Persen Waspada, Long Covid Diabetes Bisa Tercetus 12 Bulan Setelah Kena Corona

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid 
 https://t.co/RPZ2Cv79s8","[{'text': 'Booster', 'indices': [108, 116]}, {'text': 'Vaksin', 'indices': [117, 124]}, {'text': 'vaksinasi', 'indices': [125, 135]}, {'text': 'Omicron', 'indices': [136, 144]}, {'text': 'OmicronVirus', 'indices': [145, 158]}, {'text': 'OmicronVariant', 'indices': [159, 174]}, {'text': 'Corona', 'indices': [175, 182]}, {'text': 'coronavirus', 'indices': [183, 195]}, {'text': 'COVID19', 'indices': [196, 204]}, {'text': 'COVID', 'indices': [205, 211]}, {'text': 'RakyatMerdeka', 'indices': [212, 226]}, {'text': 'RMid', 'indices': [227, 232]}]"
PKuburaya,,,40,32,759,2021-05-09 07:16:19,2022-03-27 04:48:37,0,"HADIR KEMBALI PELAYANAN SUNTIK KEBAL VAKSINASI COVID-19 DI GAIA MALL KUBU RAYA, LANTAI 2 (Dosis 1, 2, Booster Serta Vaksin Anak)

#KemenkesRi
#KubuRayaMenanjak
#Dinkeskkr
#Promkeskkr
#VaksinCovid19
#Lindungidiridankeluarga
#SukseskanVaksinasiCovid19
#VaksinasiCovid19Berhadiah https://t.co/YWutOLtgS5","[{'text': 'KemenkesRi', 'indices': [130, 141]}, {'text': 'KubuRayaMenanjak', 'indices': [142, 159]}, {'text': 'Dinkeskkr', 'indices': [160, 170]}, {'text': 'Promkeskkr', 'indices': [171, 182]}, {'text': 'VaksinCovid19', 'indices': [183, 197]}, {'text': 'Lindungidiridankeluarga', 'indices': [198, 222]}, {'text': 'SukseskanVaksinasiCovid19', 'indices': [223, 249]}, {'text': 'VaksinasiCovid19Berhadiah', 'indices': [250, 276]}]"
humaspralon,,,190,355,908,2021-10-06 08:34:38,2022-03-27 03:39:43,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto
#DishubKot https://t.co/wjLjae9TiK","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}, {'text': 'DishubKot', 'indices': [263, 273]}]"
humaspralon,,,190,355,908,2021-10-06 08:34:38,2022-03-27 03:38:58,0,"Cegah Omicron, Pamor Keris Mojokota dengan Bagi Masker

#PamorKeris
#BagiMasker
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#Kodim0815Mojokerto
#Dinkes
#SatpolPPKotaMojokerto
#DishubKotaMojokerto https://t.co/BjSRoMehp7","[{'text': 'PamorKeris', 'indices': [56, 67]}, {'text': 'BagiMasker', 'indices': [68, 79]}, {'text': 'PolresMojokertoKota', 'indices': [80, 100]}, {'text': 'Prokes', 'indices': [101, 108]}, {'text': 'LawanCovid19', 'indices': [109, 122]}, {'text': 'Vaksin', 'indices': [123, 130]}, {'text': 'PolriPresisi', 'indices': [131, 144]}, {'text': 'Kodim0815Mojokerto', 'indices': [145, 164]}, {'text': 'Dinkes', 'indices': [165, 172]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [173, 195]}, {'text': 'DishubKotaMojokerto', 'indices': [196, 216]}]"
Yono43370361,Kami Selalu Ada Buat Masyarakat,"Jetis, Indonesia",72,56,6011,2020-04-12 01:25:40,2022-03-27 02:47:18,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto https://t.co/5fG1CEHf93","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}]"
Polsekkemlagi2,Salam Presisi,,16,20,1930,2020-10-04 11:28:50,2022-03-27 02:46:00,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto https://t.co/GmwoObgzeP","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}]"
Polsekkemlagi2,Salam Presisi,,16,20,1930,2020-10-04 11:28:50,2022-03-27 02:43:35,0,"Cegah Omicron, Pamor Keris Mojokota dengan Bagi Masker

#PamorKeris
#BagiMasker
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#Kodim0815Mojokerto
#Dinkes
#SatpolPPKotaMojokerto
#DishubKotaMojokerto https://t.co/gaJHulHeKm","[{'text': 'PamorKeris', 'indices': [56, 67]}, {'text': 'BagiMasker', 'indices': [68, 79]}, {'text': 'PolresMojokertoKota', 'indices': [80, 100]}, {'text': 'Prokes', 'indices': [101, 108]}, {'text': 'LawanCovid19', 'indices': [109, 122]}, {'text': 'Vaksin', 'indices': [123, 130]}, {'text': 'PolriPresisi', 'indices': [131, 144]}, {'text': 'Kodim0815Mojokerto', 'indices': [145, 164]}, {'text': 'Dinkes', 'indices': [165, 172]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [173, 195]}, {'text': 'DishubKotaMojokerto', 'indices': [196, 216]}]"
HendikTimoti,humas magersari,,251,538,4451,2020-09-30 12:12:04,2022-03-27 02:42:03,0,"PENERANGAN KELILING HIMBAU PROKES

Sosialisasi Immendagri No. 18 Tahun 2022 terkait PPKM dan Prokes 5M oleh Polres Mojokerto Kota

#Penling
#Bhabinkamtibmas
#PamorKeris
#Swab
#PolresMojokertoKota
#Prokes
#LawanCovid19
#Vaksin
#PolriPresisi
#SatpolPPKotaMojokerto https://t.co/Gt9R1y25w2","[{'text': 'Penling', 'indices': [131, 139]}, {'text': 'Bhabinkamtibmas', 'indices': [140, 156]}, {'text': 'PamorKeris', 'indices': [157, 168]}, {'text': 'Swab', 'indices': [169, 174]}, {'text': 'PolresMojokertoKota', 'indices': [175, 195]}, {'text': 'Prokes', 'indices': [196, 203]}, {'text': 'LawanCovid19', 'indices': [204, 217]}, {'text': 'Vaksin', 'indices': [218, 225]}, {'text': 'PolriPresisi', 'indices': [226, 239]}, {'text': 'SatpolPPKotaMojokerto', 'indices': [240, 262]}]"
polsekmarga,ganteng,,127,27,2342,2019-12-02 15:10:16,2022-03-27 02:17:24,0,Personil Polsek Kediri pengamanan vaksinasi Booster di Balai Banjar Malmundeh Kediri Tabanan. #vaksinbooster #vaksìnasicovid19 #vaksinserentak #vaksìncovid19 #bersatulawancovid19 #polrestabanan https://t.co/100oCO7Jso,"[{'text': 'vaksinbooster', 'indices': [94, 108]}, {'text': 'vaksìnasicovid19', 'indices': [109, 126]}, {'text': 'vaksinserentak', 'indices': [127, 142]}, {'text': 'vaksìncovid19', 'indices': [143, 157]}, {'text': 'bersatulawancovid19', 'indices': [158, 178]}, {'text': 'polrestabanan', 'indices': [179, 193]}]"
BPOM_Surabaya,"Balai Besar Pengawas Obat dan Makanan di Surabaya
Jl. Karang Menjangan 20 Surabaya
ULPK - (031) 5048833
WA - 08771-1-500-533
e-Mail - bpom_surabaya@pom.go.id",Surabaya,54,1183,2108,2014-09-12 07:11:53,2022-03-27 02:13:53,0,"Tangguh hadapi #Covid19. Tetap terapkan protokol kesehatan dan meningkatkan imun. Serta jangan lupa senantiasa meningkatkan iman juga ya #SahabatBBPOMSurabaya

#BBPOMSurabaya #BPOMRI #lawancovid19 #vaksin #CEKKLIK https://t.co/6rll7WUNGZ","[{'text': 'Covid19', 'indices': [15, 23]}, {'text': 'SahabatBBPOMSurabaya', 'indices': [137, 158]}, {'text': 'BBPOMSurabaya', 'indices': [160, 174]}, {'text': 'BPOMRI', 'indices': [175, 182]}, {'text': 'lawancovid19', 'indices': [183, 196]}, {'text': 'vaksin', 'indices': [197, 204]}, {'text': 'CEKKLIK', 'indices': [205, 213]}]"
polsekmarga,ganteng,,127,27,2342,2019-12-02 15:10:16,2022-03-27 02:11:46,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/Fa0mqgIgLa","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
IndonesiaBaikId,📱Sajian konten informasi digital | 📊Fakta dan data menarik setiap hari | 📌Powered by @djikp @kemkominfo | #️⃣ #IndonesiaBaik #YangMudaSukaData,Indonesia,170,29970,10064,2017-02-13 07:59:15,2022-03-27 02:00:12,0,"Hai SohIB! Tahun ini sudah boleh #Mudik ga ya? 

#IndonesiaBaik #YangMudaSukaData #ProgramPemerintah #VideoPendek #Lebaran2022 #Vaksin #Vaksinasi #VaksinBooster #COVID19 #Reels #TikTok #Shorts #KominfoNewsroom https://t.co/Dd5dHktH4r","[{'text': 'Mudik', 'indices': [33, 39]}, {'text': 'IndonesiaBaik', 'indices': [49, 63]}, {'text': 'YangMudaSukaData', 'indices': [64, 81]}, {'text': 'ProgramPemerintah', 'indices': [82, 100]}, {'text': 'VideoPendek', 'indices': [101, 113]}, {'text': 'Lebaran2022', 'indices': [114, 126]}, {'text': 'Vaksin', 'indices': [127, 134]}, {'text': 'Vaksinasi', 'indices': [135, 145]}, {'text': 'VaksinBooster', 'indices': [146, 160]}, {'text': 'COVID19', 'indices': [161, 169]}, {'text': 'Reels', 'indices': [170, 176]}, {'text': 'TikTok', 'indices': [177, 184]}, {'text': 'Shorts', 'indices': [185, 192]}, {'text': 'KominfoNewsroom', 'indices': [193, 209]}]"
HKerambitan,Humas Polsek Kerambitan,,12,33,2446,2019-10-24 15:09:04,2022-03-27 01:20:21,0,Personil Polsek Kediri pengamanan vaksinasi Booster di Balai Banjar Malmundeh Kediri Tabanan. #vaksinbooster #vaksìnasicovid19 #vaksinserentak #vaksìncovid19 #bersatulawancovid19 #polrestabanan https://t.co/rCYdrKtRYV,"[{'text': 'vaksinbooster', 'indices': [94, 108]}, {'text': 'vaksìnasicovid19', 'indices': [109, 126]}, {'text': 'vaksinserentak', 'indices': [127, 142]}, {'text': 'vaksìncovid19', 'indices': [143, 157]}, {'text': 'bersatulawancovid19', 'indices': [158, 178]}, {'text': 'polrestabanan', 'indices': [179, 193]}]"
HKerambitan,Humas Polsek Kerambitan,,12,33,2446,2019-10-24 15:09:04,2022-03-27 01:18:32,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/1mlJDxJvQk","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
_rakyatmerdeka,official akun Rakyat Merdeka Digital,,4,30,3035,2021-12-23 13:39:54,2022-03-27 01:15:00,4,"Top News Koran Rakyat Merdeka

Obati Pasien Covid
Pemerintah Belum Bayar 21 T, Kasian Dong Rumah Sakit Ya!

#Booster #Vaksin #vaksinasi #Omicron #OmicronVirus #OmicronVariant #Corona #coronavirus #COVID19 #COVID #RakyatMerdeka #RMid

https://t.co/tn61TAq2Zm","[{'text': 'Booster', 'indices': [108, 116]}, {'text': 'Vaksin', 'indices': [117, 124]}, {'text': 'vaksinasi', 'indices': [125, 135]}, {'text': 'Omicron', 'indices': [136, 144]}, {'text': 'OmicronVirus', 'indices': [145, 158]}, {'text': 'OmicronVariant', 'indices': [159, 174]}, {'text': 'Corona', 'indices': [175, 182]}, {'text': 'coronavirus', 'indices': [183, 195]}, {'text': 'COVID19', 'indices': [196, 204]}, {'text': 'COVID', 'indices': [205, 211]}, {'text': 'RakyatMerdeka', 'indices': [212, 226]}, {'text': 'RMid', 'indices': [227, 232]}]"
HumasBaturiti,,"Baturiti, Indonesia",4,9,355,2022-02-09 07:31:02,2022-03-27 01:13:36,0,Personil Polsek Kediri pengamanan vaksinasi Booster di Balai Banjar Malmundeh Kediri Tabanan. #vaksinbooster #vaksìnasicovid19 #vaksinserentak #vaksìncovid19 #bersatulawancovid19 #polrestabanan https://t.co/LyeDgFhX8r,"[{'text': 'vaksinbooster', 'indices': [94, 108]}, {'text': 'vaksìnasicovid19', 'indices': [109, 126]}, {'text': 'vaksinserentak', 'indices': [127, 142]}, {'text': 'vaksìncovid19', 'indices': [143, 157]}, {'text': 'bersatulawancovid19', 'indices': [158, 178]}, {'text': 'polrestabanan', 'indices': [179, 193]}]"
humaspolsektbn,,,2,3,1348,2021-01-24 02:25:18,2022-03-27 01:12:50,0,Personil Polsek Kediri pengamanan vaksinasi Booster di Balai Banjar Malmundeh Kediri Tabanan. #vaksinbooster #vaksìnasicovid19 #vaksinserentak #vaksìncovid19 #bersatulawancovid19 #polrestabanan https://t.co/XP4ZhfmoPY,"[{'text': 'vaksinbooster', 'indices': [94, 108]}, {'text': 'vaksìnasicovid19', 'indices': [109, 126]}, {'text': 'vaksinserentak', 'indices': [127, 142]}, {'text': 'vaksìncovid19', 'indices': [143, 157]}, {'text': 'bersatulawancovid19', 'indices': [158, 178]}, {'text': 'polrestabanan', 'indices': [179, 193]}]"
humaspolsektbn,,,2,3,1348,2021-01-24 02:25:18,2022-03-27 01:09:58,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/nCoZN5doz2","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
HumasBaturiti,,"Baturiti, Indonesia",4,9,355,2022-02-09 07:31:02,2022-03-27 01:07:08,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/hcgSj4tVA9","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
PSelemadeg,,,5,18,1287,2021-02-23 05:33:04,2022-03-27 01:05:22,0,Personil Polsek Kediri pengamanan vaksinasi Booster di Balai Banjar Malmundeh Kediri Tabanan. #vaksinbooster #vaksìnasicovid19 #vaksinserentak #vaksìncovid19 #bersatulawancovid19 #polrestabanan https://t.co/CwwU29IxZQ,"[{'text': 'vaksinbooster', 'indices': [94, 108]}, {'text': 'vaksìnasicovid19', 'indices': [109, 126]}, {'text': 'vaksinserentak', 'indices': [127, 142]}, {'text': 'vaksìncovid19', 'indices': [143, 157]}, {'text': 'bersatulawancovid19', 'indices': [158, 178]}, {'text': 'polrestabanan', 'indices': [179, 193]}]"
PSelemadeg,,,5,18,1287,2021-02-23 05:33:04,2022-03-27 01:04:08,0,"Ayo sukseskan vaksinasi Covid-19, dengan tetap menjaga Prokes. #ayovaksìncovid19 #ayokitavaksin #vaksìnasicovid19 #vaksìncovid19 #vaksinserentak #vaksinbooster #bersatulawancovid19 #polrestabanan https://t.co/UB2Z8u8UW3","[{'text': 'ayovaksìncovid19', 'indices': [63, 80]}, {'text': 'ayokitavaksin', 'indices': [81, 95]}, {'text': 'vaksìnasicovid19', 'indices': [96, 113]}, {'text': 'vaksìncovid19', 'indices': [114, 128]}, {'text': 'vaksinserentak', 'indices': [129, 144]}, {'text': 'vaksinbooster', 'indices': [145, 159]}, {'text': 'bersatulawancovid19', 'indices': [160, 180]}, {'text': 'polrestabanan', 'indices': [181, 195]}]"
